Num,config,Num_Fe,a1,a2,a3,a4,a5,a6,a7,a8,a9,Etot_htr,dEform_eV,Emca_meV,Damp  # 0:Fe 1:Co
097,CCFFCCCCC,2,1,1,0,0,1,1,1,1,1,-13402.5795348756,-0.006532,-0.1293,0.0109899044
098,CCFFCCCCF,3,1,1,0,0,1,1,1,1,0,-13281.9111289397,-0.009564,0.0412,0.0103283398
099,CCFFCCCFC,3,1,1,0,0,1,1,1,0,1,-13281.9152007598,-0.013636,-0.3917,0.0101114688
100,CCFFCCCFF,4,1,1,0,0,1,1,1,0,0,-13161.2378054514,-0.007678,0.3514,0.0084366126
101,CCFFCCFCC,3,1,1,0,0,1,1,0,1,1,-13281.9124075267,-0.010842,-2.0371,0.0078047186
102,CCFFCCFCF,4,1,1,0,0,1,1,0,1,0,-13161.2434601372,-0.013332,-1.1865,0.0111036662
103,CCFFCCFFC,4,1,1,0,0,1,1,0,0,1,-13161.2461095106,-0.015982,-1.3168,0.0108924391
104,CCFFCCFFF,5,1,1,0,0,1,1,0,0,0,-13040.5679866925,-0.009296,-0.4266,0.0106063994
105,CCFFCFCCC,3,1,1,0,0,1,0,1,1,1,-13281.9143841591,-0.012819,-1.0895,0.0118569885
106,CCFFCFCCF,4,1,1,0,0,1,0,1,1,0,-13161.2464315628,-0.016304,-0.9333,0.0129884053
107,CCFFCFCFC,4,1,1,0,0,1,0,1,0,1,-13161.2545165344,-0.024389,-1.0934,0.0136838784
108,CCFFCFCFF,5,1,1,0,0,1,0,1,0,0,-13040.5736695745,-0.014979,-0.2174,0.0126424866
109,CCFFCFFCC,4,1,1,0,0,1,0,0,1,1,-13161.2436690310,-0.013541,-1.5961,0.0120308773
110,CCFFCFFCF,5,1,1,0,0,1,0,0,1,0,-13040.5731365224,-0.014446,-1.6041,0.0308440258
111,CCFFCFFFC,5,1,1,0,0,1,0,0,0,1,-13040.5758423802,-0.017152,-1.0768,0.0172274469
112,CCFFCFFFF,6,1,1,0,0,1,0,0,0,0,-12919.8979637165,-0.010711,-0.1343,0.0069612551
113,CCFFFCCCC,3,1,1,0,0,0,1,1,1,1,-13281.9081125523,-0.006547,-0.6960,0.0129677192
114,CCFFFCCCF,4,1,1,0,0,0,1,1,1,0,-13161.2402551891,-0.010127,-0.4078,0.0095977007
115,CCFFFCCFC,4,1,1,0,0,0,1,1,0,1,-13161.2450394449,-0.014912,-1.0542,0.0126018866
116,CCFFFCCFF,5,1,1,0,0,0,1,1,0,0,-13040.5667524603,-0.008062,-0.4496,0.0100001218
117,CCFFFCFCC,4,1,1,0,0,0,1,0,1,1,-13161.2439837537,-0.013856,-1.7427,0.0141304173
118,CCFFFCFCF,5,1,1,0,0,0,1,0,1,0,-13040.5744920037,-0.015801,-1.3709,0.0153082894
119,CCFFFCFFC,5,1,1,0,0,0,1,0,0,1,-13040.5771180301,-0.018427,-1.3845,0.0133922055
120,CCFFFCFFF,6,1,1,0,0,0,1,0,0,0,-12919.8990136013,-0.011760,-1.0905,0.0241461369
121,CCFFFFCCC,4,1,1,0,0,0,0,1,1,1,-13161.2364799289,-0.006352,-1.5650,0.0084350834
122,CCFFFFCCF,5,1,1,0,0,0,0,1,1,0,-13040.5682231253,-0.009533,-1.3214,0.0151144807
123,CCFFFFCFC,5,1,1,0,0,0,0,1,0,1,-13040.5763846023,-0.017694,-1.0276,0.0133208303
124,CCFFFFCFF,6,1,1,0,0,0,0,1,0,0,-12919.8962077008,-0.008955,-1.3575,0.0285950594
125,CCFFFFFCC,5,1,1,0,0,0,0,0,1,1,-13040.5661356233,-0.007445,-1.7165,0.0113851155
126,CCFFFFFCF,6,1,1,0,0,0,0,0,1,0,-12919.8957586340,-0.008505,-1.7256,0.0178651792
127,CCFFFFFFC,6,1,1,0,0,0,0,0,0,1,-12919.8960212403,-0.008768,-0.8946,0.0181227744
128,CCFFFFFFF,7,1,1,0,0,0,0,0,0,0,-12799.2185231253,-0.002707,-0.0671,0.0080026032
129,CFCCCCCCC,1,1,0,1,1,1,1,1,1,1,-13523.2502060311,-0.005766,0.7590,0.0041282804
130,CFCCCCCCF,2,1,0,1,1,1,1,1,1,0,-13402.5804368189,-0.007434,1.1810,0.0078147725
131,CFCCCCCFC,2,1,0,1,1,1,1,1,0,1,-13402.5876892742,-0.014687,1.1327,0.0065062077
132,CFCCCCCFF,3,1,0,1,1,1,1,1,0,0,-13281.9089604855,-0.007395,1.4045,0.0083727599
133,CFCCCCFCC,2,1,0,1,1,1,1,0,1,1,-13402.5841634143,-0.011161,0.1250,0.0092644782
134,CFCCCCFCF,3,1,0,1,1,1,1,0,1,0,-13281.9150713014,-0.013506,0.6665,0.0125115664
135,CFCCCCFFC,3,1,0,1,1,1,1,0,0,1,-13281.9175354356,-0.015970,0.7644,0.0096388098
136,CFCCCCFFF,4,1,0,1,1,1,1,0,0,0,-13161.2405984026,-0.010471,1.5651,0.0080057476
137,CFCCCFCCC,2,1,0,1,1,1,0,1,1,1,-13402.5832711655,-0.010269,-0.1508,0.0077365840
138,CFCCCFCCF,3,1,0,1,1,1,0,1,1,0,-13281.9143192489,-0.012754,0.2865,0.0070093457
139,CFCCCFCFC,3,1,0,1,1,1,0,1,0,1,-13281.9236031422,-0.022038,0.4708,0.0057593819
140,CFCCCFCFF,4,1,0,1,1,1,0,1,0,0,-13161.2429806498,-0.012853,1.1320,0.0090275652
141,CFCCCFFCC,3,1,0,1,1,1,0,0,1,1,-13281.9129946062,-0.011429,-0.4817,0.0095585214
142,CFCCCFFCF,4,1,0,1,1,1,0,0,1,0,-13161.2425679012,-0.012440,0.2369,0.0062589000
143,CFCCCFFFC,4,1,0,1,1,1,0,0,0,1,-13161.2450768190,-0.014949,0.6318,0.0082333107
144,CFCCCFFFF,5,1,0,1,1,1,0,0,0,0,-13040.5673163177,-0.008626,0.6111,0.0091341524
145,CFCCFCCCC,2,1,0,1,1,0,1,1,1,1,-13402.5833629431,-0.010360,-0.0281,0.0085240191
146,CFCCFCCCF,3,1,0,1,1,0,1,1,1,0,-13281.9149689775,-0.013404,0.2479,0.0088464266
147,CFCCFCCFC,3,1,0,1,1,0,1,1,0,1,-13281.9193223797,-0.017757,-1.2039,0.0049200309
148,CFCCFCCFF,4,1,0,1,1,0,1,1,0,0,-13161.2414556351,-0.011328,0.2794,0.0062525325
149,CFCCFCFCC,3,1,0,1,1,0,1,0,1,1,-13281.9180710890,-0.016506,-1.4790,0.0099734685
150,CFCCFCFCF,4,1,0,1,1,0,1,0,1,0,-13161.2491581149,-0.019030,-0.6789,0.0126083144
151,CFCCFCFFC,4,1,0,1,1,0,1,0,0,1,-13161.2518270642,-0.021699,-0.7936,0.0107085396
152,CFCCFCFFF,5,1,0,1,1,0,1,0,0,0,-13040.5734898016,-0.014799,-0.4702,0.0202822029
153,CFCCFFCCC,3,1,0,1,1,0,0,1,1,1,-13281.9128186879,-0.011253,-0.7787,0.0122527056
154,CFCCFFCCF,4,1,0,1,1,0,0,1,1,0,-13161.2442866424,-0.014159,-0.7346,0.0127433094
155,CFCCFFCFC,4,1,0,1,1,0,0,1,0,1,-13161.2526477823,-0.022520,-0.8089,0.0087876370
156,CFCCFFCFF,5,1,0,1,1,0,0,1,0,0,-13040.5719468789,-0.013256,0.1047,0.0132842020
157,CFCCFFFCC,4,1,0,1,1,0,0,0,1,1,-13161.2423460655,-0.012218,-1.0918,0.0062911823
158,CFCCFFFCF,5,1,0,1,1,0,0,0,1,0,-13040.5717007239,-0.013010,-1.2251,0.0431196777
159,CFCCFFFFC,5,1,0,1,1,0,0,0,0,1,-13040.5740302506,-0.015340,-0.1594,0.0161038248
160,CFCCFFFFF,6,1,0,1,1,0,0,0,0,0,-12919.8959569118,-0.008704,0.1238,0.0062152662
161,CFCFCCCCC,2,1,0,1,0,1,1,1,1,1,-13402.5876054387,-0.014603,0.6281,0.0081478254
162,CFCFCCCCF,3,1,0,1,0,1,1,1,1,0,-13281.9188868093,-0.017322,0.6729,0.0095799887
163,CFCFCCCFC,3,1,0,1,0,1,1,1,0,1,-13281.9233077519,-0.021742,0.3566,0.0041788238
164,CFCFCCCFF,4,1,0,1,0,1,1,1,0,0,-13161.2455350330,-0.015407,0.8053,0.0110331837
165,CFCFCCFCC,3,1,0,1,0,1,1,0,1,1,-13281.9192564376,-0.017691,-1.5942,0.0078979695
166,CFCFCCFCF,4,1,0,1,0,1,1,0,1,0,-13161.2505337131,-0.020406,-0.5976,0.0151678278
167,CFCFCCFFC,4,1,0,1,0,1,1,0,0,1,-13161.2534753620,-0.023347,-0.6878,0.0078040593
168,CFCFCCFFF,5,1,0,1,0,1,1,0,0,0,-13040.5745267497,-0.015836,0.0977,0.0123590005
169,CFCFCFCCC,3,1,0,1,0,1,0,1,1,1,-13281.9229284568,-0.021363,-0.0995,0.0073828319
170,CFCFCFCCF,4,1,0,1,0,1,0,1,1,0,-13161.2545102419,-0.024382,-0.4060,0.0097794564
171,CFCFCFCFC,4,1,0,1,0,1,0,1,0,1,-13161.2631431439,-0.033015,-0.5815,0.0083521659
172,CFCFCFCFF,5,1,0,1,0,1,0,1,0,0,-13040.5818777449,-0.023187,0.0874,0.0174863865
173,CFCFCFFCC,4,1,0,1,0,1,0,0,1,1,-13161.2518022593,-0.021674,-0.9724,0.0061890090
174,CFCFCFFCF,5,1,0,1,0,1,0,0,1,0,-13040.5812124315,-0.022522,-0.1972,0.0236051092
175,CFCFCFFFC,5,1,0,1,0,1,0,0,0,1,-13040.5840965708,-0.025406,-0.1338,0.0129959958
176,CFCFCFFFF,6,1,0,1,0,1,0,0,0,0,-12919.9057781342,-0.018525,0.3509,0.0107788319
177,CFCFFCCCC,3,1,0,1,0,0,1,1,1,1,-13281.9160148331,-0.014450,0.0403,0.0064473302
178,CFCFFCCCF,4,1,0,1,0,0,1,1,1,0,-13161.2479085419,-0.017781,0.1887,0.0096800736
179,CFCFFCCFC,4,1,0,1,0,0,1,1,0,1,-13161.2528312023,-0.022703,-0.7877,0.0102437775
180,CFCFFCCFF,5,1,0,1,0,0,1,1,0,0,-13040.5747297255,-0.016039,0.0029,0.0075565394
181,CFCFFCFCC,4,1,0,1,0,0,1,0,1,1,-13161.2509981381,-0.020870,-1.0896,0.0088149039
182,CFCFFCFCF,5,1,0,1,0,0,1,0,1,0,-13040.5813953446,-0.022705,0.0562,0.0130983794
183,CFCFFCFFC,5,1,0,1,0,0,1,0,0,1,-13040.5844573533,-0.025767,-0.2556,0.0122873406
184,CFCFFCFFF,6,1,0,1,0,0,1,0,0,0,-12919.9058872555,-0.018634,-0.0877,0.0219582323
185,CFCFFFCCC,4,1,0,1,0,0,0,1,1,1,-13161.2447732448,-0.014645,-0.4285,0.0100458331
186,CFCFFFCCF,5,1,0,1,0,0,0,1,1,0,-13040.5760746461,-0.017384,-0.1430,0.0141351018
187,CFCFFFCFC,5,1,0,1,0,0,0,1,0,1,-13040.5846366998,-0.025946,0.0547,0.0105544692
188,CFCFFFCFF,6,1,0,1,0,0,0,1,0,0,-12919.9041602787,-0.016907,0.1651,0.0230455934
